player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
KU Carty,Batter,1000,75.93014426727412,1317,0,28,27,430,430,0,166,264,0,West Indies,
KH Prajapati,Batter,996,73.72316802368616,1351,0,1,2,51,51,0,27,24,1,Oman,
C Kieswetter,Batter,985,87.16814159292035,1130,0,0,0,517,517,0,295,222,1,England,
DS Smith,Batter,973,70.55837563451777,1379,0,17,18,414,414,0,161,253,1,West Indies,
JN Malan,Batter,958,81.39337298215803,1177,0,0,0,458,458,0,282,176,2,South Africa,
AJ Blackwell,Batter,953,75.75516693163752,1258,0,0,0,516,516,0,360,156,2,Australia,
CJA Amini,Batter,952,61.61812297734628,1545,33,1298,1620,63,63,0,12,51,2,Papua New Guinea,28.848484848484848
Muneeba Ali,Batter,948,58.918582970789316,1609,0,0,0,463,463,0,223,240,0,Pakistan,
Shaiman Anwar,Batter,947,81.49741824440619,1162,5,136,117,97,97,0,33,64,0,United Arab Emirates,189.4
JM How,Batter,939,64.80331262939958,1449,0,0,0,444,444,0,231,213,3,New Zealand,
G Singh,Batter,938,81.21212121212122,1155,6,97,113,64,64,0,30,34,3,United States of America,156.33333333333334
Imad Wasim,Batter,937,108.95348837209302,860,44,1936,2388,462,462,0,223,239,0,Pakistan,21.295454545454547
MG Johnson,Batter,934,93.21357285429141,1002,243,5977,7537,545,545,0,381,164,6,Australia,3.843621399176955
RV Uthappa,Batter,934,87.28971962616822,1070,0,0,2,573,573,0,356,217,0,India,
KOA Powell,Batter,934,78.42149454240135,1191,0,0,0,427,427,0,165,262,0,West Indies,
RR Hendricks,Batter,930,76.79603633360858,1211,1,47,42,472,472,0,291,181,2,South Africa,930.0
Nigar Sultana,Batter,927,48.81516587677725,1899,0,0,0,333,333,0,130,203,2,Bangladesh,
Habibul Bashar,Batter,926,55.41591861160982,1671,0,0,0,343,343,0,134,209,0,Bangladesh,
Chirag Suri,Batter,924,62.77173913043478,1472,0,0,0,95,95,0,33,62,1,United Arab Emirates,
NT Broom,Batter,919,78.68150684931507,1168,0,0,0,443,443,0,231,212,1,New Zealand,
R Powell,Batter,915,86.81214421252372,1054,3,261,256,425,425,0,164,261,1,West Indies,305.0
CP Rizwan,Batter,901,57.27908455181182,1573,1,51,61,98,98,0,34,64,1,United Arab Emirates,901.0
SJ Modani,Batter,898,61.50684931506849,1460,0,6,12,64,64,0,30,34,1,United States of America,
P Litchfield,Batter,895,78.37127845884413,1142,0,0,0,533,533,0,372,161,4,Australia,
BJ McMullen,Batter,888,83.93194706994329,1058,39,724,1048,85,85,0,46,39,3,Scotland,22.76923076923077
Muhammad Usman,Batter,888,73.26732673267327,1212,0,0,0,95,95,0,33,62,0,United Arab Emirates,
Ishan Kishan,Batter,886,99.5505617977528,890,0,0,0,553,553,0,341,212,1,India,
JWA Taylor,Batter,879,79.5475113122172,1105,0,0,0,511,511,0,291,220,3,England,
S Bau,Batter,874,58.93459204315577,1483,13,492,613,63,63,0,12,51,2,Papua New Guinea,67.23076923076923
RR Pant,Batter,871,102.95508274231679,846,0,0,0,576,576,0,357,219,1,India,
TT Bresnan,Batter,871,88.51626016260163,984,120,3879,4300,517,517,0,295,222,0,England,7.258333333333334
PD Salt,Batter,866,112.46753246753246,770,0,0,0,495,495,0,284,211,0,England,
DS Airee,Batter,861,70.74774034511093,1217,46,1287,1919,65,65,0,33,32,2,Nepal,18.717391304347824
TD Paine,Batter,861,68.88,1250,0,0,0,521,521,0,363,158,1,Australia,
PWH de Silva,Batter,859,102.7511961722488,836,85,2164,2482,478,478,0,221,257,4,Sri Lanka,10.105882352941176
Rameez Shahzad,Batter,848,75.84973166368515,1118,0,34,34,99,99,0,34,65,1,United Arab Emirates,
Shoaib Khan,Batter,843,82.24390243902438,1025,2,131,146,51,51,0,27,24,2,Oman,421.5
SSJ Brooks,Batter,842,73.21739130434783,1150,0,0,0,430,430,0,166,264,2,West Indies,
JJ Smit,Batter,839,71.89374464438731,1167,39,794,1134,54,54,0,25,29,1,Namibia,21.512820512820515
CN Nation,Batter,831,54.45609436435125,1526,0,9,6,428,428,0,165,263,0,West Indies,
TM Odoyo,Batter,830,69.10907577019151,1201,45,1172,1635,38,38,0,13,25,2,Kenya,18.444444444444443
VS Solanki,Batter,829,69.43048576214406,1194,1,80,84,518,518,0,295,223,1,England,829.0
VVS Laxman,Batter,828,72.50437828371278,1142,0,0,0,570,570,0,353,217,2,India,
BM Halliday,Batter,828,70.64846416382252,1172,7,209,223,428,428,0,222,206,0,New Zealand,118.28571428571429
AL Phehlukwayo,Batter,827,83.03212851405623,996,96,3003,3189,470,470,0,290,180,1,South Africa,8.614583333333334
SHT Kandamby,Batter,827,69.03171953255426,1198,2,175,177,510,510,0,237,273,0,Sri Lanka,413.5
PJ Hughes,Batter,826,73.8819320214669,1118,0,0,0,544,544,0,381,163,2,Australia,
O Prendergast,Batter,821,74.36594202898551,1104,18,616,733,162,162,0,58,104,1,Ireland,45.611111111111114
W Barresi,Batter,820,76.2081784386617,1076,0,13,6,90,90,0,29,61,0,Netherlands,
JA Rudolph,Batter,820,66.77524429967427,1228,0,0,0,445,445,0,272,173,0,South Africa,
L Goodall,Batter,817,59.89736070381232,1364,0,0,0,471,471,0,290,181,1,South Africa,
YK Pathan,Batter,810,110.05434782608697,736,37,1379,1517,579,579,0,360,219,2,India,21.89189189189189
MF Maharoof,Batter,799,80.62563067608475,991,118,3113,3911,510,510,0,237,273,6,Sri Lanka,6.771186440677966
AC Voges,Batter,798,83.47280334728033,956,6,240,247,544,544,0,381,163,2,Australia,133.0
JN Loftie-Eaton,Batter,796,74.25373134328358,1072,22,498,542,55,55,0,26,29,2,Namibia,36.18181818181818
SIR Dunkley,Batter,789,79.45619335347432,993,1,1,4,513,513,0,292,221,2,England,789.0
Sharjeel Khan,Batter,787,113.72832369942196,692,0,0,0,462,462,0,223,239,0,Pakistan,
T Brits,Batter,786,69.12928759894459,1137,0,0,0,453,453,0,278,175,1,South Africa,
A Steyn,Batter,781,61.111111111111114,1278,0,0,0,438,438,0,270,168,1,South Africa,
A Hunter,Batter,776,81.6842105263158,950,0,0,0,162,162,0,58,104,1,Ireland,
SA Yadav,Batter,773,102.92942743009321,751,0,17,12,553,553,0,341,212,0,India,
N Vanua,Batter,769,78.95277207392198,974,56,1880,2223,63,63,0,12,51,1,Papua New Guinea,13.732142857142858
CA Ingram,Batter,761,81.3903743315508,935,0,17,6,456,456,0,280,176,3,South Africa,
AG Prince,Batter,761,67.58436944937833,1126,0,3,12,466,466,0,286,180,1,South Africa,
Towhid Hridoy,Batter,759,85.47297297297297,888,0,2,1,327,327,0,127,200,1,Bangladesh,
Kushal Malla,Batter,756,86.89655172413792,870,26,766,1068,65,65,0,33,32,1,Nepal,29.076923076923077
MG Bevan,Batter,755,64.14613423959217,1177,0,0,0,540,540,0,378,162,1,Australia,
G Malla,Batter,753,65.76419213973799,1145,1,18,19,65,65,0,33,32,0,Nepal,753.0
L Siaka,Batter,749,73.93879565646594,1013,3,153,202,62,62,0,12,50,1,Papua New Guinea,249.66666666666666
LS Greenway,Batter,732,65.82733812949641,1112,0,0,0,507,507,0,291,216,2,England,
SF Mire,Batter,729,77.22457627118644,944,11,420,408,277,277,0,66,211,1,Zimbabwe,66.27272727272727
H Madavi,Batter,729,66.6971637694419,1093,0,33,25,489,489,0,226,263,0,Sri Lanka,
Pargat Singh,Batter,722,77.63440860215054,930,5,84,116,51,51,0,18,33,2,Canada,144.4
GO Jones,Batter,715,80.97395243488108,883,0,0,0,518,518,0,295,223,2,England,
AT Nidamanuru,Batter,713,91.2932138284251,781,0,8,6,86,86,0,25,61,1,Netherlands,
SR Mukkamalla,Batter,711,82.86713286713287,858,0,0,0,62,62,0,29,33,1,United States of America,
Mohammad Mithun,Batter,711,75.0,948,0,12,13,334,334,0,131,203,0,Bangladesh,
GD Phillips,Batter,710,94.79305740987985,749,13,541,547,431,431,0,224,207,1,New Zealand,54.61538461538461
R Ashwin,Batter,707,85.07821901323706,831,166,5228,6358,579,579,0,360,219,3,India,4.259036144578313
LJ Wright,Batter,707,84.36754176610978,838,17,910,1050,517,517,0,295,222,0,England,41.588235294117645
JA Morkel,Batter,705,96.97386519944979,727,50,1736,1900,459,459,0,283,176,3,South Africa,14.1
SO Tikolo,Batter,705,64.26618049225159,1097,28,919,1089,38,38,0,13,25,0,Kenya,25.178571428571427
NND de Silva,Batter,703,66.07142857142857,1064,3,228,270,497,497,0,231,266,0,Sri Lanka,234.33333333333334
B Sharki,Batter,703,65.03237742830711,1081,0,8,6,65,65,0,33,32,1,Nepal,
BM Duckett,Batter,700,98.17671809256662,713,0,0,0,487,487,0,280,207,0,England,
Kycia A Knight,Batter,699,51.77777777777778,1350,0,0,0,423,423,0,164,259,0,West Indies,
PA Patel,Batter,693,78.39366515837104,884,0,0,0,567,567,0,350,217,0,India,
RM Ghosh,Batter,690,90.19607843137256,765,0,0,0,556,556,0,344,212,0,India,
SW Billings,Batter,690,89.84375,768,0,0,0,519,519,0,295,224,0,England,
ZE Green,Batter,686,78.6697247706422,872,0,0,0,55,55,0,26,29,0,Namibia,
MS Chapman,Batter,684,102.85714285714285,665,0,0,0,15,15,0,5,10,2,Hong Kong,
HASD Siriwardene,Batter,679,55.976916735366856,1213,32,1341,1695,497,497,0,231,266,0,Sri Lanka,21.21875
Umaima Sohail,Batter,670,61.69429097605893,1086,18,584,711,463,463,0,223,240,0,Pakistan,37.22222222222222
TT Samaraweera,Batter,669,73.19474835886214,914,1,33,30,500,500,0,232,268,2,Sri Lanka,669.0
GWHM Perera,Batter,668,56.75446049277825,1177,0,0,0,487,487,0,226,261,0,Sri Lanka,
YH Bhatia,Batter,666,69.88457502623295,953,0,0,0,568,568,0,351,217,1,India,
CJ Ferguson,Batter,663,83.39622641509435,795,0,0,0,494,494,0,346,148,1,Australia,
RH Priest,Batter,661,81.00490196078431,816,0,0,0,412,412,0,215,197,0,New Zealand,
HJH Marshall,Batter,661,67.44897959183673,980,0,0,0,441,441,0,229,212,2,New Zealand,
L Tucker,Batter,657,76.75233644859813,856,0,0,0,163,163,0,59,104,0,Ireland,
HC Brook,Batter,653,105.49273021001615,619,0,0,0,487,487,0,280,207,2,England,
CA Soper,Batter,653,55.38592027141645,1179,67,1774,2380,63,63,0,12,51,2,Papua New Guinea,9.746268656716419
CK Coventry,Batter,645,87.51696065128901,737,0,0,0,269,269,0,65,204,1,Zimbabwe,
Shafali Verma,Batter,644,79.21279212792129,813,2,76,87,568,568,0,351,217,0,India,322.0
Sharmin Akhter,Batter,643,56.40350877192982,1140,0,0,0,325,325,0,126,199,2,Bangladesh,
MADD Surangika,Batter,642,53.05785123966942,1210,0,0,0,497,497,0,231,266,0,Sri Lanka,
PM Weerakkody,Batter,638,54.436860068259385,1172,0,0,0,497,497,0,231,266,0,Sri Lanka,
Agha Salman,Batter,637,97.69938650306749,652,15,622,662,461,461,0,222,239,1,Pakistan,42.46666666666667
PSP Handscomb,Batter,632,96.34146341463415,656,0,0,0,542,542,0,380,162,0,Australia,
C Green,Batter,626,81.2987012987013,770,21,788,841,526,526,0,366,160,2,Australia,29.80952380952381
Gulsan Jha,Batter,625,75.57436517533253,827,30,937,951,63,63,0,31,32,3,Nepal,20.833333333333332
Sompal Kami,Batter,621,71.70900692840647,866,79,2168,2511,65,65,0,33,32,1,Nepal,7.860759493670886
JN Mohammed,Batter,621,66.84607104413348,929,8,342,442,425,425,0,164,261,1,West Indies,77.625
KT Perkins,Batter,618,73.74701670644392,838,0,0,0,426,426,0,222,204,0,New Zealand,
JN Frylinck,Batter,615,73.65269461077844,835,36,938,1298,55,55,0,26,29,3,Namibia,17.083333333333332
A Bagai,Batter,614,61.70854271356784,995,0,0,0,49,49,0,16,33,1,Canada,
H Thaker,Batter,612,66.8122270742358,916,22,617,882,51,51,0,18,33,4,Canada,27.818181818181817
JF Mooney,Batter,610,81.76943699731903,746,37,1119,1242,164,164,0,60,104,0,Ireland,16.486486486486488
Khaled Mashud,Batter,605,53.11676909569798,1139,0,0,0,346,346,0,134,212,0,Bangladesh,
PL Mommsen,Batter,601,76.46310432569975,786,0,0,0,100,100,0,53,47,1,Scotland,
Kyshona A Knight,Batter,597,47.99035369774919,1244,0,32,26,428,428,0,165,263,0,West Indies,
RN ten Doeschate,Batter,594,87.09677419354838,682,20,654,711,73,73,0,22,51,2,Netherlands,29.7
J Botha,Batter,594,82.72980501392759,718,77,2839,3673,459,459,0,283,176,0,South Africa,7.714285714285714
BMAJ Mendis,Batter,593,80.02699055330635,741,31,1199,1394,511,511,0,237,274,1,Sri Lanka,19.129032258064516
JM Vince,Batter,590,86.51026392961877,682,1,38,43,519,519,0,295,224,1,England,590.0
N de Klerk,Batter,589,72.09302325581395,817,53,1362,1702,471,471,0,290,181,2,South Africa,11.11320754716981
Aayan Afzal Khan,Batter,585,73.95701643489254,791,43,1202,1801,99,99,0,34,65,3,United Arab Emirates,13.604651162790697
FH Allen,Batter,582,91.3657770800628,637,0,0,0,431,431,0,224,207,1,New Zealand,
P Vastrakar,Batter,579,86.28912071535022,671,29,1049,1155,568,568,0,351,217,1,India,19.96551724137931
TLW Cooper,Batter,576,74.22680412371135,776,6,282,315,73,73,0,22,51,0,Netherlands,96.0
WD Parnell,Batter,574,77.25437415881561,743,110,3090,3340,461,461,0,284,177,4,South Africa,5.218181818181818
BJ Watling,Batter,573,66.62790697674419,860,0,0,0,440,440,0,228,212,0,New Zealand,
WPUJC Vaas,Batter,569,67.33727810650888,845,118,3317,4806,509,509,0,236,273,4,Sri Lanka,4.822033898305085
AR Patel,Batter,568,90.01584786053883,631,67,2117,2804,580,580,0,360,220,1,India,8.477611940298507
L Winfield,Batter,564,70.76537013801757,797,0,0,0,455,455,0,261,194,0,England,
H Deol,Batter,561,76.53478854024557,733,2,69,87,568,568,0,351,217,2,India,280.5
MK Pandey,Batter,558,89.42307692307693,624,0,0,0,559,559,0,347,212,1,India,
DD Ebrahim,Batter,555,52.85714285714286,1050,0,5,2,265,265,0,64,201,0,Zimbabwe,
Abdullah Shafique,Batter,554,80.40638606676342,689,0,0,0,445,445,0,217,228,0,Pakistan,
Afif Hossain,Batter,548,86.84627575277337,631,3,108,105,329,329,0,127,202,1,Bangladesh,182.66666666666666
N Deonarine,Batter,546,62.54295532646048,873,4,368,399,369,369,0,144,225,1,West Indies,136.5
Babar Hayat,Batter,539,71.96261682242991,749,0,9,6,16,16,0,5,11,3,Hong Kong,
CA Henry,Batter,537,76.38691322901849,703,33,1105,1354,417,417,0,162,255,1,West Indies,16.272727272727273
Sandeep Goud,Batter,535,69.84334203655352,766,0,80,91,52,52,0,27,25,1,Oman,
L Louwrens,Batter,535,58.27886710239652,918,0,0,0,55,55,0,26,29,0,Namibia,
JL Jonassen,Batter,533,84.33544303797468,632,136,2375,3541,527,527,0,367,160,2,Australia,3.9191176470588234
Imran Nazir,Batter,531,87.91390728476821,604,0,0,0,453,453,0,220,233,1,Pakistan,
J Mubarak,Batter,531,63.745498199279716,833,1,44,51,499,499,0,232,267,1,Sri Lanka,531.0
CR Brathwaite,Batter,527,85.97063621533442,613,46,1647,1725,418,418,0,162,256,0,West Indies,11.456521739130435
Mosaddek Hossain,Batter,524,80.0,655,16,904,1016,334,334,0,131,203,1,Bangladesh,32.75
RJ Peterson,Batter,523,82.23270440251572,636,76,2280,2798,463,463,0,284,179,0,South Africa,6.881578947368421
JP Inglis,Batter,521,99.23809523809524,525,0,0,0,526,526,0,366,160,0,Australia,
Nain Abidi,Batter,521,54.55497382198953,955,0,0,0,456,456,0,221,235,0,Pakistan,
PJ Moor,Batter,520,66.58130601792574,781,0,0,0,277,277,0,66,211,1,Zimbabwe,
K Doriga,Batter,520,56.09492988133765,927,0,0,0,63,63,0,12,51,0,Papua New Guinea,
MA Vermeulen,Batter,517,64.9497487437186,796,0,0,0,265,265,0,64,201,1,Zimbabwe,
BJ Hodge,Batter,516,88.50771869639794,583,1,51,66,522,522,0,363,159,1,Australia,516.0
CD Wallace,Batter,515,86.12040133779264,598,0,0,0,101,101,0,54,47,0,Scotland,
SV Samson,Batter,510,96.7741935483871,527,0,0,0,580,580,0,360,220,2,India,
Nizakat Khan,Batter,508,80.89171974522293,628,3,89,110,16,16,0,5,11,0,Hong Kong,169.33333333333334
SL Malinga,Batter,508,72.46790299572041,701,343,9518,10803,511,511,0,237,274,7,Sri Lanka,1.4810495626822158
LV van Beek,Batter,505,82.78688524590164,610,50,1619,1759,86,86,0,25,61,1,Netherlands,10.1
AN Petersen,Batter,498,81.63934426229508,610,0,7,9,456,456,0,280,176,0,South Africa,
SE Rutherford,Batter,497,110.44444444444443,450,3,161,115,358,358,0,140,218,1,West Indies,165.66666666666666
Shayan Jahangir,Batter,497,85.24871355060034,583,0,0,0,64,64,0,30,34,0,United States of America,
Mominul Haque,Batter,495,73.77049180327869,671,6,137,157,341,341,0,133,208,0,Bangladesh,82.5
SM Sharif,Batter,492,69.7872340425532,705,89,2497,3099,101,101,0,54,47,2,Scotland,5.52808988764045
JWM Dalrymple,Batter,487,71.93500738552437,677,15,686,868,508,508,0,291,217,0,England,32.46666666666667
AA Obanda,Batter,487,69.17613636363636,704,0,0,0,39,39,0,13,26,0,Kenya,
LR Down,Batter,486,60.82603254067585,799,0,0,0,433,433,0,225,208,1,New Zealand,
Fatima Sana,Batter,484,69.54022988505747,696,59,1626,1772,463,463,0,223,240,2,Pakistan,8.203389830508474
NR Kirton,Batter,483,74.19354838709677,651,4,77,114,51,51,0,18,33,1,Canada,120.75
ME Bouchier,Batter,482,103.43347639484979,466,0,0,0,504,504,0,289,215,1,England,
RS Williams,Batter,477,46.22093023255814,1032,0,0,0,417,417,0,162,255,0,West Indies,
K Verreynne,Batter,476,87.17948717948718,546,0,0,0,458,458,0,282,176,0,South Africa,
SW Ambris,Batter,473,93.66336633663367,505,0,0,0,409,409,0,158,251,1,West Indies,
N Chantam,Batter,473,68.65021770682148,689,0,0,0,9,9,0,8,1,3,Thailand,
WG Jacks,Batter,468,98.11320754716981,477,5,229,240,495,495,0,284,211,1,England,93.6
EJ Villani,Batter,468,77.22772277227723,606,6,216,222,527,527,0,367,160,1,Australia,78.0
MA Ouma,Batter,468,54.736842105263165,855,0,0,0,37,37,0,12,25,0,Kenya,
Javed Omar,Batter,468,48.3971044467425,967,0,0,0,343,343,0,134,209,0,Bangladesh,
Karan KC,Batter,457,83.24225865209472,549,81,1972,2323,65,65,0,33,32,4,Nepal,5.6419753086419755
AR Nurse,Batter,454,97.84482758620689,464,44,2009,2187,425,425,0,164,261,1,West Indies,10.318181818181818
GS Ballance,Batter,454,70.17001545595053,647,0,0,0,511,511,0,291,220,0,England,
JE Cameron,Batter,452,75.20798668885192,601,0,0,0,497,497,0,348,149,1,Australia,
JL Denly,Batter,446,69.14728682170542,645,1,101,104,496,496,0,284,212,0,England,446.0
Pratika Rawal,Batter,444,89.51612903225806,496,2,63,54,366,366,0,215,151,2,India,222.0
Ghulam Shabber,Batter,444,62.01117318435754,716,0,0,0,93,93,0,31,62,0,United Arab Emirates,
JM Davison,Batter,443,112.72264631043257,393,19,513,630,49,49,0,16,33,3,Canada,23.31578947368421
S Lamichhane,Batter,440,88.0,500,120,2185,2942,65,65,0,33,32,4,Nepal,3.6666666666666665
A Johnson,Batter,438,95.21739130434783,460,0,14,24,51,51,0,18,33,0,Canada,
H Hiri,Batter,435,54.78589420654912,794,3,114,103,63,63,0,12,51,0,Papua New Guinea,145.0
Murshida Khatun,Batter,429,55.00000000000001,780,0,0,0,333,333,0,130,203,1,Bangladesh,
A Ndiraya,Batter,428,68.58974358974359,624,1,16,26,270,270,0,65,205,1,Zimbabwe,428.0
CG Williams,Batter,427,77.63636363636364,550,5,201,264,52,52,0,25,27,1,Namibia,85.4
MN van Wyk,Batter,425,67.35340729001584,631,0,0,0,457,457,0,281,176,0,South Africa,
S Prasanna,Batter,421,91.52173913043478,460,33,1742,1936,507,507,0,236,271,0,Sri Lanka,12.757575757575758
SMA Priyanjan,Batter,420,78.79924953095684,533,7,236,270,508,508,0,236,272,0,Sri Lanka,60.0
PW Borren,Batter,413,89.20086393088553,463,6,442,494,73,73,0,22,51,0,Netherlands,68.83333333333333
FC Wilson,Batter,412,93.42403628117914,441,0,0,0,498,498,0,286,212,0,England,
V Krishnamurthy,Batter,410,86.31578947368422,475,3,58,113,561,561,0,347,214,0,India,136.66666666666666
RD Shah,Batter,407,62.90571870170015,647,0,0,0,38,38,0,13,25,0,Kenya,
Ayesha Zafar,Batter,407,53.27225130890052,764,0,18,27,463,463,0,223,240,0,Pakistan,
Simi Singh,Batter,406,78.52998065764024,517,30,615,958,151,151,0,53,98,1,Ireland,13.533333333333333
RMVD Gunaratne,Batter,401,69.9825479930192,573,0,0,0,489,489,0,226,263,0,Sri Lanka,
Ali Naseer,Batter,396,99.24812030075188,399,23,667,701,99,99,0,34,65,0,United Arab Emirates,17.217391304347824
EL Lamb,Batter,396,83.72093023255815,473,3,96,110,513,513,0,292,221,1,England,132.0
T Mishra,Batter,395,70.0354609929078,564,0,0,0,39,39,0,13,26,1,Kenya,
MAA Sanjeewani,Batter,395,56.50929899856938,699,0,0,0,497,497,0,231,266,0,Sri Lanka,
AB Barath,Batter,394,62.63910969793323,629,0,0,0,400,400,0,155,245,0,West Indies,
MW Machan,Batter,393,79.07444668008048,497,4,223,226,100,100,0,53,47,0,Scotland,98.25
Suraj Kumar,Batter,392,74.80916030534351,524,0,0,0,52,52,0,27,25,0,Oman,
PA de Silva,Batter,390,80.08213552361396,487,14,487,572,509,509,0,236,273,0,Sri Lanka,27.857142857142858
CM McBride,Batter,386,70.43795620437956,548,4,102,145,82,82,0,44,38,1,Scotland,96.5
MA Jones,Batter,385,66.1512027491409,582,0,0,0,96,96,0,51,45,0,Scotland,
CS Baugh,Batter,382,67.85079928952042,563,0,0,0,422,422,0,163,259,0,West Indies,
T de Zorzi,Batter,381,95.48872180451127,399,0,0,0,472,472,0,291,181,1,South Africa,
J Gumbie,Batter,379,65.23235800344234,581,0,0,0,273,273,0,66,207,0,Zimbabwe,
XM Marshall,Batter,379,55.98227474150664,677,0,5,4,61,61,0,29,32,0,United States of America,
M Mupachikwa,Batter,376,55.7037037037037,675,0,0,0,270,270,0,65,205,2,Zimbabwe,
Asif Ali,Batter,375,118.29652996845425,317,0,9,5,446,446,0,218,228,0,Pakistan,
PJ Forrest,Batter,368,63.77816291161178,577,0,0,0,532,532,0,371,161,0,Australia,
MS Sinclair,Batter,367,64.84098939929329,566,0,0,0,425,425,0,222,203,0,New Zealand,
DW Steyn,Batter,365,61.6554054054054,592,212,5202,6388,469,469,0,289,180,6,South Africa,1.721698113207547
Tanzid Hasan,Batter,364,101.11111111111111,360,0,0,0,327,327,0,127,200,0,Bangladesh,
KM Dabengwa,Batter,364,57.68621236133122,631,15,647,715,264,264,0,64,200,0,Zimbabwe,24.266666666666666
SP Narine,Batter,363,79.78021978021978,455,99,2445,3554,427,427,0,165,262,6,West Indies,3.6666666666666665
DT Johnston,Batter,361,76.32135306553911,473,39,1133,1508,164,164,0,60,104,1,Ireland,9.256410256410257
CB Wishart,Batter,361,72.78225806451613,496,0,0,0,233,233,0,57,176,1,Zimbabwe,
DG Brownlie,Batter,361,72.2,500,0,0,0,432,432,0,225,207,0,New Zealand,
Naseem Khushi,Batter,360,107.46268656716418,335,0,0,0,51,51,0,27,24,0,Oman,
MDN Hansika,Batter,357,47.72727272727273,748,0,0,0,497,497,0,231,266,0,Sri Lanka,
A Bosch,Batter,355,73.8045738045738,481,1,134,159,453,453,0,278,175,2,South Africa,355.0
J Nkomo,Batter,354,64.01446654611212,553,25,431,714,270,270,0,65,205,1,Zimbabwe,14.16
MDT Kamini,Batter,353,63.48920863309353,556,0,31,31,514,514,0,318,196,2,India,
R Trumpelmann,Batter,350,79.36507936507937,441,56,1324,1773,55,55,0,26,29,2,Namibia,6.25
SJ Myburgh,Batter,347,74.46351931330472,466,0,0,0,78,78,0,23,55,1,Netherlands,
Rumana Ahmed,Batter,346,50.658857979502194,683,26,669,951,301,301,0,109,192,1,Bangladesh,13.307692307692308
AA Alleyne,Batter,341,60.03521126760564,568,30,834,1021,417,417,0,162,255,0,West Indies,11.366666666666667
LMM Tahuhu,Batter,340,86.07594936708861,395,98,2511,3276,433,433,0,225,208,0,New Zealand,3.4693877551020407
NV Knight,Batter,339,70.1863354037267,483,0,0,0,457,457,0,262,195,0,England,
M Vijay,Batter,339,65.69767441860465,516,1,38,38,579,579,0,360,219,1,India,339.0
B Cooper,Batter,339,58.34767641996558,581,0,0,0,365,365,0,143,222,0,West Indies,
R Rampaul,Batter,338,75.1111111111111,450,115,3136,3703,422,422,0,163,259,2,West Indies,2.9391304347826086
Rashid Latif,Batter,335,82.1078431372549,408,0,0,0,426,426,0,209,217,0,Pakistan,
SS Pathirana,Batter,332,83.20802005012531,399,16,724,776,498,498,0,231,267,0,Sri Lanka,20.75
A Flower,Batter,332,70.33898305084746,472,0,0,0,233,233,0,57,176,0,Zimbabwe,
HM Rowe,Batter,332,66.26746506986028,501,58,1603,2075,433,433,0,225,208,1,New Zealand,5.724137931034483
I Kaia,Batter,332,63.84615384615384,520,0,22,28,273,273,0,66,207,0,Zimbabwe,
HP Tillakaratne,Batter,332,59.07473309608541,562,0,0,0,509,509,0,236,273,0,Sri Lanka,
KA Edwards,Batter,331,64.90196078431373,510,0,0,0,422,422,0,163,259,0,West Indies,
D Khanal,Batter,329,68.25726141078839,482,0,20,18,65,65,0,33,32,0,Nepal,
Adnan Mufti,Batter,328,79.41888619854721,413,0,0,0,89,89,0,31,58,1,United Arab Emirates,
SS Weerakkody,Batter,328,62.95585412667947,521,28,826,1122,497,497,0,231,266,0,Sri Lanka,11.714285714285714
SA Engelbrecht,Batter,327,63.005780346820806,519,0,17,12,89,89,0,28,61,0,Netherlands,
CN Ackermann,Batter,326,75.11520737327189,434,15,448,553,86,86,0,25,61,0,Netherlands,21.733333333333334
MH Yardy,Batter,326,66.53061224489795,490,20,1052,1289,491,491,0,282,209,0,England,16.3
SJ Baard,Batter,326,57.49559082892416,567,0,0,0,55,55,0,26,29,0,Namibia,
Sidra Nawaz,Batter,325,48.7987987987988,666,0,0,0,463,463,0,223,240,0,Pakistan,
MO Odumbe,Batter,324,89.25619834710744,363,7,307,364,38,38,0,13,25,1,Kenya,46.285714285714285
S Movva,Batter,324,67.21991701244814,482,0,0,0,51,51,0,18,33,0,Canada,
A Sharma,Batter,323,69.01709401709401,468,4,183,273,99,99,0,34,65,1,United Arab Emirates,80.75
MR Aguilleira,Batter,323,54.0133779264214,598,0,0,0,428,428,0,165,263,0,West Indies,
AC Agar,Batter,322,80.5,400,22,970,1107,512,512,0,356,156,1,Australia,14.636363636363637
MR Meshram,Batter,322,56.3922942206655,571,0,51,86,562,562,0,348,214,1,India,
DA Gunawardene,Batter,322,54.483925549915405,591,0,0,0,476,476,0,221,255,0,Sri Lanka,
AK Sah,Batter,320,87.67123287671232,365,0,0,0,62,62,0,31,31,1,Nepal,
R Mutumbami,Batter,319,71.36465324384787,447,0,0,0,276,276,0,66,210,0,Zimbabwe,
JP Kotze,Batter,316,70.37861915367483,449,0,0,0,54,54,0,25,29,0,Namibia,
Washington Sundar,Batter,315,81.60621761658031,386,23,631,807,519,519,0,323,196,0,India,13.695652173913043
LM Jongwe,Batter,315,79.14572864321609,398,28,1083,1126,273,273,0,66,207,0,Zimbabwe,11.25
D la Cock,Batter,313,65.89473684210526,475,0,9,12,55,55,0,26,29,0,Namibia,
